Linux 2.6.32-279.22.1.el6.x86_64 (Delta3.fbu.lab.emc.com) 	05/02/2013 	_x86_64_	(32 CPU)

01:53:01 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
01:53:07 PM   30    0.33    0.00    0.67    0.00    0.00    0.00    0.00    0.00   99.00
01:53:07 PM   31    0.33    0.00    0.67    0.00    0.00    0.00    0.00    0.00   99.00

01:53:07 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
01:53:10 PM  all    1.79    0.00    1.06    1.29    0.00    0.00    0.00    0.00   95.85
01:53:10 PM    0   41.08    0.00   17.85   41.08    0.00    0.00    0.00    0.00    0.00
01:53:10 PM    1    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00   97.99
01:53:10 PM    2    1.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00   98.66
01:53:10 PM    3    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
01:53:10 PM    4    0.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.33
01:53:10 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:10 PM    6    0.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.33
01:53:10 PM    7    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.67
01:53:10 PM    8    1.33    0.00    1.33    0.00    0.00    0.00    0.00    0.00   97.33
01:53:10 PM    9    1.00    0.00    0.67    0.00    0.00    0.00    0.00    0.00   98.33
01:53:10 PM   10    1.00    0.00    0.67    0.00    0.00    0.00    0.00    0.00   98.33
01:53:10 PM   11    0.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.33
01:53:10 PM   12    0.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.34
01:53:10 PM   13    0.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.34
01:53:10 PM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:10 PM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:10 PM   16    0.33    0.00    0.33    0.33    0.00    0.00    0.00    0.00   99.00
01:53:10 PM   17    2.01    0.00    1.68    0.00    0.00    0.00    0.00    0.00   96.31
01:53:10 PM   18    1.33    0.00    1.33    0.00    0.00    0.00    0.00    0.00   97.33
01:53:10 PM   19    0.67    0.00    1.00    0.00    0.00    0.00    0.00    0.00   98.33
01:53:10 PM   20    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   97.99
01:53:10 PM   21    0.67    0.00    0.67    0.00    0.00    0.00    0.00    0.00   98.67
01:53:10 PM   22    0.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.33
01:53:10 PM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:10 PM   24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:10 PM   25    0.33    0.00    0.67    0.00    0.00    0.00    0.00    0.00   99.00
01:53:10 PM   26    1.00    0.00    1.33    0.00    0.00    0.00    0.00    0.00   97.67
01:53:10 PM   27    0.67    0.00    1.00    0.00    0.00    0.00    0.00    0.00   98.33
01:53:10 PM   28    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.67
01:53:10 PM   29    0.33    0.00    0.66    0.00    0.00    0.00    0.00    0.00   99.00
01:53:10 PM   30    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
01:53:10 PM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

01:53:10 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
01:53:13 PM  all    1.72    0.00    1.03    1.34    0.00    0.00    0.00    0.00   95.91
01:53:13 PM    0   40.07    0.00   16.31   43.26    0.00    0.00    0.00    0.00    0.35
01:53:13 PM    1    1.33    0.00    1.00    0.33    0.00    0.00    0.00    0.00   97.33
