procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
12 40      0 32345952 235344 24743840    0    0 614869 317494 15081 327357 12  9 49 29  0	
 0 124      0 32340496 235356 24748528    0    0 545939 344296 13844 296856 11  8 48 32  0	
 4  0      0 32332924 235356 24753304    0    0 713422 283000 17972 430248 14 13 42 32  0	
10 35      0 32330568 235368 24755260    0    0 620701 426464 18183 430805 11 11 32 45  0	
 5 29      0 32328336 235368 24755824    0    0 1279707 138627 22469 666495 16 21 16 47  0	
 4 19      0 32328852 235380 24755872    0    0 581069 408119 19324 446735 10 11 44 36  0	
 4 15      0 32323540 235380 24755876    0    0 322509 404673 21610 386640  8  8 51 34  0	
 6 85      0 32318112 235388 24755884    0    0 466077 375080 22659 441249  9  9 43 39  0	
 1 23      0 32309928 235388 24755884    0    0 509643 352292 23179 462110  9 10 41 41  0	
 2 22      0 32331452 235404 24755888    0    0 740397 86343 19424 294748 13  9 46 32  0	
51 29      0 32330088 235404 24756592    0    0 485941 309302 18008 430343  9  9 46 36  0	
52 96      0 32326748 235416 24760572    0    0 429861 347687 15107 353237 11  9 65 15  0	
 1 128      0 32321540 235416 24765036    0    0 489208 288580 12881 281223 11  9 63 17  0	
 1  4      0 32313348 235428 24771332    0    0 707331 346045 16214 339021 14  9 34 43  0	
 2 129      0 32306040 235428 24777260    0    0 609683 327840 15257 300840 13  9 44 34  0	
 0  3      0 32301204 235440 24781212    0    0 460853 414766 15177 335665 10  8 57 24  0	
 2 39      0 32295608 235440 24785080    0    0 642555 368513 18103 421952 13 11 43 33  0	
23 84      0 32293236 235452 24786688    0    0 500669 450663 16513 394175 10  9 44 37  0	
24 92      0 32290388 235452 24787156    0    0 1495408 62581 24020 727139 18 24 14 44  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  4      0 32289980 235468 24787164    0    0 1371077 97067 23292 691487 17 22 17 44  0	
 4 18      0 32282288 235468 24787168    0    0 613264 377408 23181 510482 10 11 33 46  0	
25 40      0 32269144 235472 24787200    0    0 568256 340945 22053 475411  9 10 38 42  0	
 0 122      0 32287580 235472 24787256    0    0 268699 343869 14028 261116  6  5 65 23  0	
 5  1      0 32288204 235484 24789752    0    0 215507 457558 16225 318216  9  6 69 16  0	
10  4      0 32285724 235484 24792804    0    0 384395 447799 15820 332457 12  8 64 16  0	
 0  9      0 32279524 235500 24798284    0    0 502680 322791 14956 302644 12  9 59 20  0	
 8  9      0 32273076 235500 24802836    0    0 595171 333129 14537 303564 12  9 47 32  0	
17 89      0 32265388 235512 24809596    0    0 610221 289578 15241 334976 13  9 52 26  0	
 6  4      0 32261980 235520 24812396    0    0 377541 443764 14635 340857 10  8 63 20  0	
