118|30028|1354|4.509|
2|30012|1349|4.495|
92|30015|1353|4.508|
54|30001|1357|4.523|
116|30000|1348|4.493|
80|30009|1358|4.525|
120|30002|1338|4.46|
79|30011|1355|4.515|
82|30021|1349|4.494|
127|30006|1348|4.492|
102|30007|1350|4.499|
23|30004|1360|4.533|
71|30004|1312|4.373|
28|30001|1328|4.427|
51|30003|1356|4.52|
40|30016|1326|4.418|
50|30007|1330|4.432|
27|30023|1366|4.55|
8|30010|1360|4.532|
45|30017|1335|4.447|
11|30025|1339|4.46|
58|30007|1366|4.552|
19|30019|1343|4.474|
39|30005|1343|4.476|
49|30011|1332|4.438|
97|30012|1355|4.515|
30|30007|1357|4.522|
4|30010|1347|4.489|
35|30008|1342|4.472|
3|30021|1354|4.51|
22|30032|1328|4.422|
123|30031|1351|4.499|
10|30031|1344|4.475|
91|30011|1347|4.488|
95|30032|1332|4.435|
61|30013|1362|4.538|
94|30002|1375|4.583|
126|30025|1355|4.513|
89|30010|1351|4.502|
17|30023|1357|4.52|
90|30014|1381|4.601|
59|30016|1361|4.534|
47|30010|1343|4.475|
125|30026|1332|4.436|
87|30040|1303|4.338|
32|30028|1355|4.512|
62|30025|1347|4.486|
63|30004|1321|4.403|
111|30040|1359|4.524|
6|30044|1351|4.497|
86|30015|1350|4.498|
9|30009|1355|4.515|
113|30022|1371|4.567|
100|30001|1344|4.48|
108|30024|1330|4.43|
106|30018|1374|4.577|
105|30013|1340|4.465|
74|30016|1379|4.594|
46|30045|1333|4.437|
101|30002|1373|4.576|
115|30018|1340|4.464|
67|30024|1350|4.496|
119|30032|1381|4.598|
44|30049|1330|4.426|
109|30023|1369|4.56|
60|30011|1326|4.418|
107|30014|1342|4.471|
72|30042|1355|4.51|
93|30000|1351|4.503|
42|30011|1361|4.535|
110|30050|1340|4.459|
124|30015|1355|4.514|
36|30048|1358|4.519|
5|30000|1353|4.51|
56|30001|1370|4.567|
15|30006|1346|4.486|
31|30001|1360|4.533|
78|30034|1364|4.542|
24|30032|1353|4.505|
20|30013|1343|4.475|
29|30001|1344|4.48|
98|30026|1354|4.509|
104|30022|1355|4.513|
121|30030|1348|4.489|
52|30004|1335|4.449|
66|30008|1363|4.542|
55|30012|1352|4.505|
16|30027|1366|4.549|
18|30028|1354|4.509|
26|30010|1349|4.495|
73|30030|1354|4.509|
37|30013|1356|4.518|
33|30020|1337|4.454|
70|30044|1349|4.49|
14|30043|1368|4.553|
57|30048|1333|4.436|
75|30021|1346|4.484|
88|30038|1354|4.508|
114|30028|1348|4.489|
48|30055|1349|4.488|
96|30060|1327|4.415|
77|30048|1347|4.483|
69|30042|1339|4.457|
34|30068|1354|4.503|
38|30043|1313|4.37|
128|30071|1338|4.449|
64|30051|1342|4.466|
117|30078|1354|4.502|
43|30056|1367|4.548|
65|30064|1349|4.487|
84|30059|1358|4.518|
25|30085|1373|4.564|
122|30072|1340|4.456|
13|30072|1352|4.496|
103|30082|1332|4.428|
41|30081|1358|4.514|
2|30084|1366|4.541|
1|30066|1355|4.507|
68|30067|1343|4.467|
112|30075|1340|4.456|
53|30076|1346|4.475|
76|30077|1341|4.459|
7|30075|1343|4.466|
